seq_id,step,time_us,duration_us,amplitude,phase_deg,dds_freq_hz,dds_phase_reg,comment
RABI,1,0,200000,0.0,0,0,0,MOT load (placeholder)
RABI,2,200000,50000,0.0,0,0,0,Narrow cooling
RABI,3,250000,10000,0.0,0,0,0,Lattice ramp
RABI,4,260000,5000,0.0,0,0,0,Optical pumping
RABI,5,265000,200000,1.0,0,429000000,0,Probe pi pulse (200 ms)
RABI,6,465000,50000,0.5,0,0,0,Detection window
RAMSEY,1,0,200000,0.0,0,0,0,MOT load
RAMSEY,2,200000,50000,0.0,0,0,0,Narrow cooling
RAMSEY,3,250000,10000,0.0,0,0,0,Lattice ramp
RAMSEY,4,260000,5000,0.0,0,0,0,Optical pumping
RAMSEY,5,265000,5000,1.0,0,429000000,0,pi/2 pulse
RAMSEY,6,270000,200000,0.0,0,0,0,Free evolution T_free
RAMSEY,7,470000,5000,1.0,0,429000000,0,pi/2 pulse
RAMSEY,8,475000,50000,0.5,0,0,0,Detection
HYPER,1,0,200000,0.0,0,0,0,MOT
HYPER,2,200000,50000,0.0,0,0,0,Cooling
HYPER,3,250000,10000,0.0,0,0,0,Lattice ramp
HYPER,4,260000,5000,0.0,0,0,0,Opt pump
HYPER,5,265000,5000,1.0,0,429000000,0,pi/2 (phi0=0)
HYPER,6,270000,100000,0.0,0,0,0,T1
HYPER,7,370000,10000,1.0,180,429000000,1,pi (phi1=pi)
HYPER,8,380000,100000,0.0,0,0,0,T2
HYPER,9,480000,5000,1.0,0,429000000,0,pi/2 (phi2=0)
HYPER,10,485000,50000,0.5,0,0,0,Detection
